,unique_id,ds,y,Type,AutoARIMA
264,time-analysis,2019-08-01 16:00:00,,Predicted,8886.76
265,time-analysis,2019-08-01 17:00:00,,Predicted,9392.765
266,time-analysis,2019-08-01 18:00:00,,Predicted,9470.203
267,time-analysis,2019-08-01 19:00:00,,Predicted,9440.504
268,time-analysis,2019-08-01 20:00:00,,Predicted,9252.0205
269,time-analysis,2019-08-01 21:00:00,,Predicted,8963.041
270,time-analysis,2019-08-01 22:00:00,,Predicted,8387.052
271,time-analysis,2019-08-01 23:00:00,,Predicted,7941.319
272,time-analysis,2019-08-02 00:00:00,,Predicted,7656.1587
273,time-analysis,2019-08-02 01:00:00,,Predicted,7473.6343
274,time-analysis,2019-08-02 02:00:00,,Predicted,7389.8135
275,time-analysis,2019-08-02 03:00:00,,Predicted,7337.202
276,time-analysis,2019-08-02 04:00:00,,Predicted,7398.9565
277,time-analysis,2019-08-02 05:00:00,,Predicted,7560.607
278,time-analysis,2019-08-02 06:00:00,,Predicted,7969.513
279,time-analysis,2019-08-02 07:00:00,,Predicted,8656.326
280,time-analysis,2019-08-02 08:00:00,,Predicted,9268.051
281,time-analysis,2019-08-02 09:00:00,,Predicted,9559.403
282,time-analysis,2019-08-02 10:00:00,,Predicted,9569.367
283,time-analysis,2019-08-02 11:00:00,,Predicted,9504.788
284,time-analysis,2019-08-02 12:00:00,,Predicted,9367.125
285,time-analysis,2019-08-02 13:00:00,,Predicted,9362.83
286,time-analysis,2019-08-02 14:00:00,,Predicted,9143.684
287,time-analysis,2019-08-02 15:00:00,,Predicted,9136.258
288,time-analysis,2019-08-02 16:00:00,,Predicted,9228.006
289,time-analysis,2019-08-02 17:00:00,,Predicted,9743.345
290,time-analysis,2019-08-02 18:00:00,,Predicted,9831.279
291,time-analysis,2019-08-02 19:00:00,,Predicted,9798.064
292,time-analysis,2019-08-02 20:00:00,,Predicted,9610.227
293,time-analysis,2019-08-02 21:00:00,,Predicted,9326.446
294,time-analysis,2019-08-02 22:00:00,,Predicted,8775.65
295,time-analysis,2019-08-02 23:00:00,,Predicted,8342.312
296,time-analysis,2019-08-03 00:00:00,,Predicted,8051.801
297,time-analysis,2019-08-03 01:00:00,,Predicted,7859.8687
298,time-analysis,2019-08-03 02:00:00,,Predicted,7770.2344
299,time-analysis,2019-08-03 03:00:00,,Predicted,7723.4917
300,time-analysis,2019-08-03 04:00:00,,Predicted,7787.095
301,time-analysis,2019-08-03 05:00:00,,Predicted,7949.6655
302,time-analysis,2019-08-03 06:00:00,,Predicted,8340.933
303,time-analysis,2019-08-03 07:00:00,,Predicted,8991.144
304,time-analysis,2019-08-03 08:00:00,,Predicted,9580.027
305,time-analysis,2019-08-03 09:00:00,,Predicted,9871.5205
306,time-analysis,2019-08-03 10:00:00,,Predicted,9894.731
307,time-analysis,2019-08-03 11:00:00,,Predicted,9829.741
308,time-analysis,2019-08-03 12:00:00,,Predicted,9715.123
309,time-analysis,2019-08-03 13:00:00,,Predicted,9721.391
310,time-analysis,2019-08-03 14:00:00,,Predicted,9500.409
311,time-analysis,2019-08-03 15:00:00,,Predicted,9503.382
312,time-analysis,2019-08-03 16:00:00,,Predicted,9596.054
313,time-analysis,2019-08-03 17:00:00,,Predicted,10113.978
314,time-analysis,2019-08-03 18:00:00,,Predicted,10203.717
315,time-analysis,2019-08-03 19:00:00,,Predicted,10170.502
316,time-analysis,2019-08-03 20:00:00,,Predicted,9982.664
317,time-analysis,2019-08-03 21:00:00,,Predicted,9698.885
318,time-analysis,2019-08-03 22:00:00,,Predicted,9148.088
319,time-analysis,2019-08-03 23:00:00,,Predicted,8714.749
320,time-analysis,2019-08-04 00:00:00,,Predicted,8424.238
321,time-analysis,2019-08-04 01:00:00,,Predicted,8232.307
322,time-analysis,2019-08-04 02:00:00,,Predicted,8142.672
323,time-analysis,2019-08-04 03:00:00,,Predicted,8095.929
324,time-analysis,2019-08-04 04:00:00,,Predicted,8159.5327
325,time-analysis,2019-08-04 05:00:00,,Predicted,8322.104
326,time-analysis,2019-08-04 06:00:00,,Predicted,8713.37
327,time-analysis,2019-08-04 07:00:00,,Predicted,9363.581
328,time-analysis,2019-08-04 08:00:00,,Predicted,9952.465
329,time-analysis,2019-08-04 09:00:00,,Predicted,10243.958
330,time-analysis,2019-08-04 10:00:00,,Predicted,10267.169
331,time-analysis,2019-08-04 11:00:00,,Predicted,10202.179
332,time-analysis,2019-08-04 12:00:00,,Predicted,10087.561
333,time-analysis,2019-08-04 13:00:00,,Predicted,10093.828
334,time-analysis,2019-08-04 14:00:00,,Predicted,9872.847
335,time-analysis,2019-08-04 15:00:00,,Predicted,9875.819
336,time-analysis,2019-08-04 16:00:00,,Predicted,9968.491
337,time-analysis,2019-08-04 17:00:00,,Predicted,10486.415
338,time-analysis,2019-08-04 18:00:00,,Predicted,10576.154
339,time-analysis,2019-08-04 19:00:00,,Predicted,10542.939
340,time-analysis,2019-08-04 20:00:00,,Predicted,10355.102
341,time-analysis,2019-08-04 21:00:00,,Predicted,10071.322
342,time-analysis,2019-08-04 22:00:00,,Predicted,9520.525
343,time-analysis,2019-08-04 23:00:00,,Predicted,9087.187
